"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFRAINVEST","ROAD","EUR","A","2016",11863364266.724,
"AUS","INFRAINVEST","ROAD","EUR","A","2017",13676319910.035,
"AUS","INFRAINVEST","ROAD","EUR","A","2018",14717863170.703,
"AUT","INFRAINVEST","ROAD","EUR","A","2016",444000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2017",515000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2018",463000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2019",562000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2016",810000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2017",655906000,"P"
"CAN","INFRAINVEST","ROAD","EUR","A","2016",7042672778.2188,
"CAN","INFRAINVEST","ROAD","EUR","A","2017",7481340453.8651,
"CAN","INFRAINVEST","ROAD","EUR","A","2018",6578805867.2592,"P"
"CZE","INFRAINVEST","ROAD","EUR","A","2016",849231713.90313,
"CZE","INFRAINVEST","ROAD","EUR","A","2017",984191254.67197,
"CZE","INFRAINVEST","ROAD","EUR","A","2018",1044764478.5537,
"CZE","INFRAINVEST","ROAD","EUR","A","2019",1383064924.5417,
"DNK","INFRAINVEST","ROAD","EUR","A","2016",1099470814.194,
"DNK","INFRAINVEST","ROAD","EUR","A","2017",1065643190.3424,
"DNK","INFRAINVEST","ROAD","EUR","A","2018",1083963934.9541,
"FIN","INFRAINVEST","ROAD","EUR","A","2016",1178000000,
"FIN","INFRAINVEST","ROAD","EUR","A","2017",1235000000,
"FIN","INFRAINVEST","ROAD","EUR","A","2018",1526000000,
"FIN","INFRAINVEST","ROAD","EUR","A","2019",1522000000,
"FRA","INFRAINVEST","ROAD","EUR","A","2016",9216000000,
"FRA","INFRAINVEST","ROAD","EUR","A","2017",9080000000,
"FRA","INFRAINVEST","ROAD","EUR","A","2018",9632000000,
"FRA","INFRAINVEST","ROAD","EUR","A","2019",9816000000,
"DEU","INFRAINVEST","ROAD","EUR","A","2016",12870000000,
"DEU","INFRAINVEST","ROAD","EUR","A","2017",14240000000,
"DEU","INFRAINVEST","ROAD","EUR","A","2018",15630000000,
"DEU","INFRAINVEST","ROAD","EUR","A","2019",16650000000,
"GRC","INFRAINVEST","ROAD","EUR","A","2016",2187037728.3639,
"GRC","INFRAINVEST","ROAD","EUR","A","2017",3894932795.1378,
"GRC","INFRAINVEST","ROAD","EUR","A","2018",2117800122.4969,
"GRC","INFRAINVEST","ROAD","EUR","A","2019",710327242.57463,
"HUN","INFRAINVEST","ROAD","EUR","A","2016",802745135.81198,
"HUN","INFRAINVEST","ROAD","EUR","A","2017",1280382187.2297,
"HUN","INFRAINVEST","ROAD","EUR","A","2018",1780313937.1128,
"HUN","INFRAINVEST","ROAD","EUR","A","2019",2288587058.7902,
"ISL","INFRAINVEST","ROAD","EUR","A","2016",74669206.22201,
"ISL","INFRAINVEST","ROAD","EUR","A","2017",91030934.251748,
"ISL","INFRAINVEST","ROAD","EUR","A","2018",99401538.989241,
"IRL","INFRAINVEST","ROAD","EUR","A","2016",622000000,
"IRL","INFRAINVEST","ROAD","EUR","A","2017",547000000,
"IRL","INFRAINVEST","ROAD","EUR","A","2018",693000000,
"IRL","INFRAINVEST","ROAD","EUR","A","2019",837000000,
"ITA","INFRAINVEST","ROAD","EUR","A","2016",3755000000,
"ITA","INFRAINVEST","ROAD","EUR","A","2017",3409000000,
"ITA","INFRAINVEST","ROAD","EUR","A","2018",6555000000,
"JPN","INFRAINVEST","ROAD","EUR","A","2016",32575953057.807,
"JPN","INFRAINVEST","ROAD","EUR","A","2017",31577903148.098,
"JPN","INFRAINVEST","ROAD","EUR","A","2018",30027258170.637,
"LUX","INFRAINVEST","ROAD","EUR","A","2016",214564133.09332,
"LUX","INFRAINVEST","ROAD","EUR","A","2017",207836518.44121,
"LUX","INFRAINVEST","ROAD","EUR","A","2018",180379732.04518,
"MEX","INFRAINVEST","ROAD","EUR","A","2016",3383341764.5151,
"MEX","INFRAINVEST","ROAD","EUR","A","2017",2161424638.606,
"MEX","INFRAINVEST","ROAD","EUR","A","2018",2304810286.3826,
"MEX","INFRAINVEST","ROAD","EUR","A","2019",2277117180.705,
"NZL","INFRAINVEST","ROAD","EUR","A","2016",1005213678.7485,
"NZL","INFRAINVEST","ROAD","EUR","A","2017",943127166.22734,
"NZL","INFRAINVEST","ROAD","EUR","A","2018",1057955558.3046,
"NZL","INFRAINVEST","ROAD","EUR","A","2019",1041148618.2269,
